,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,Mean
clock,23.038,25.292,24.067,25.764,23.583,24.595,26.236,24.413,24.907,23.752,25.015,24.36,23.865,24.767,23.683,23.988,24.543,24.163,25.531,24.468,24.722,25.157,23.661,25.109,24.671,25.544,26.218,23.822,25.182,26.632,24.872,22.713,26.925,25.185,24.531,24.912,25.012,24.007,25.558,25.533,25.654,26.569,25.681,24.894,23.982,24.683,24.82,25.493,24.271,23.69,23.547,25.069,26.815,25.103,25.836,25.68,24.805,24.197,24.456,23.849,25.963,24.451,24.858,24.638,24.325,23.742,24.536,25.343,25.123,24.671,24.957,23.857,26.039,24.896,24.301,25.074,25.857,25.195,24.449,23.904,24.282,24.456,24.62,25.527,24.119,22.874,24.137,25.116,23.942,23.981,25.123,26.366,22.972,27.064,23.873,24.834,24.817,26.519,23.802,23.641,24.092,24.666,24.555,26.757,24.739,24.842,23.451,23.051,24.783,23.639,24.592,27.008,24.621,24.943,25.451,26.516,24.276,25.129,24.463,23.465,24.146,24.224,25.305,23.773,25.597,25.254,26.802,24.438,25.598,24.976,26.104,26.06,24.492,25.819,24.673,24.639,25.532,24.263,24.567,24.383,26.12,24.954,24.597,24.105,24.37,24.465,24.121,24.316,24.502,24.7,27.024,24.898,26.879,25.345,23.719,23.62,23.676,25.928,24.434,24.597,23.98,24.988,24.759,23.66,23.995,24.552,25.322,25.53,24.856,25.966,25.602,24.856,24.017,24.905,24.824,24.407,24.235,23.688,24.739,24.915,24.399,23.601,26.361,24.432,25.901,24.933,24.143,24.96,25.885,24.924,24.76,25.382,24.352,24.701,25.027,23.921,24.74,23.841,24.95,24.159,24.79278
worm,22.478,22.899,21.204,23.218,23.52,22.959,22.928,23.022,23.365,25.323,22.954,23.443,22.577,22.539,23.488,22.811,23.309,25.655,21.079,23.451,23.053,22.461,22.846,23.109,22.513,24.925,21.109,23.132,22.977,22.925,22.6,22.674,22.704,23.419,22.226,22.286,22.577,22.589,23.245,23,23.076,22.652,22.548,22.217,22.967,23.053,22.195,22.483,22.854,23.363,23.325,22.566,23.343,23.401,22.897,23.22,23.194,20.86,23.439,22.279,22.967,23.074,22.547,22.858,23.203,25.388,25.374,23.06,22.644,23.011,23.203,23.38,22.687,23.053,23.02,25.436,23.275,22.777,21.457,23.602,23.061,25.715,22.846,25.245,23.091,25.273,22.784,22.947,21.753,25.738,22.88,22.315,22.717,23.132,22.956,25.823,22.896,23.091,22.686,22.273,22.656,22.748,20.86,21.984,25.281,21.893,22.941,22.947,22.87,22.871,23.087,22.971,21.601,22.903,21.513,21.967,22.476,22.694,22.694,23.523,22.255,21.603,22.442,23.288,22.292,23.453,22.573,25.055,22.963,23.525,22.602,23.005,22.842,23.532,22.035,22.826,22.873,21.309,22.459,23.055,22.596,22.974,22.941,23.52,23.402,22.974,22.637,22.687,25.26,25.127,23.033,22.609,22.568,23.182,22.703,22.171,22.76,22.474,21.83,20.86,25.632,22.885,25.473,25.531,21.241,23.063,23.06,21.269,25.067,23.149,22.68,22.897,22.95,22.886,23.016,20.982,21.493,22.974,23.308,22.213,23.425,25.823,21.264,23.407,22.848,22.87,22.52,22.647,21.549,20.86,23.031,22.863,21.231,23.522,22.824,23.146,22.383,21.902,23.315,23.581,22.966585
plain,24.526,24.136,23.014,25.127,23.371,23.677,25.276,23.535,20.578,22.952,25.049,23.671,24.22,23.021,22.991,24.063,25.22,25.279,23.554,23.754,23.996,22.909,26.384,24.415,25.264,24.493,22.746,22.445,24.493,24.327,25.728,23.707,24.54,24.966,26.141,24.443,25.277,23.521,26.347,25.25,24.162,23.353,23.645,26.23,25.218,26.359,23.992,22.964,26.206,22.249,24.487,23.611,24.384,24.454,23.33,23.818,24.582,23.115,23.364,23.443,24.442,26.374,23.809,25.128,25.546,23.749,24.992,24.503,24.947,23.672,25.061,24.629,22.946,25.238,23.019,23.877,24.517,23.791,23.158,23.189,24.21,26.372,24.102,23.447,24.093,22.964,23.737,25.166,23.654,26.363,26.286,22.925,23.985,23.645,25.229,23.622,23.188,24.446,23.745,23.476,24.139,23.738,22.582,23.786,23.098,23.602,23.233,25.19,23.397,24.428,23.575,23.671,24.419,25.194,25.198,23.177,22.586,24.692,23.643,24.46,24.036,24.462,24.098,22.856,22.235,23.689,22.982,24.247,25.241,23.585,23.315,23.756,23.755,22.992,24.835,23.854,24.039,23.771,25.275,23.694,23.552,22.77,23.36,25.201,23.394,25.039,24.504,24.499,25.216,23.421,23.982,23.893,25.269,25.217,24.504,22.969,23.451,23.681,23.671,23.599,22.478,24.974,23.967,23.795,23.46,23.33,26.09,23.515,25.273,23.811,25.265,26.311,24.276,26.257,23.963,23.674,22.879,23.828,22.909,22.984,24.273,23.341,22.968,22.983,24.864,23.476,24.423,25.081,23.802,23.684,23.453,25.231,25.059,26.24,22.986,25.189,24.511,24.099,24.516,22.966,24.122575
orange,20.595,21.986,22.949,20.724,22.539,20.955,21.489,21.223,21.845,22.278,21.924,23.844,20.857,21.321,22.761,20.631,23.918,22.189,21.582,22.584,20.225,22.115,22.067,23.848,22.106,21.238,22.458,20.667,21.295,22.156,23.367,22.616,23.609,22.084,21.67,21.031,21.384,21.932,21.2,21.915,22.294,21.667,22.619,22.564,21.2,21.263,21.796,21.849,21.556,22.303,22.434,22.181,22.391,20.8,20.691,21.59,21.317,22.48,23.72,22.049,22.018,22.895,22.248,21.903,22.78,21.362,22.017,22.412,22.662,22.645,21.603,22.834,21.726,22.643,22.999,21.486,21.367,22.714,22.137,21.314,21.837,20.92,22.328,21.68,22.097,20.144,22.164,22.466,22.54,22.185,21.141,20.586,22.958,22.035,22.413,22.094,22.998,20.961,20.737,21.979,20.719,22.495,22.577,22.438,21.689,21.322,20.944,21.916,22.076,22.064,23.101,22.086,22.065,21.231,24.271,21.023,20.199,21.281,23.162,21.449,23.074,21.834,20.836,21.784,21.317,21.059,22.566,21.902,23.609,21.448,22.72,22.689,21.203,22.613,21.88,20.484,23.647,23.821,22.358,23.754,20.832,20.876,21.986,21.994,22.495,21.447,21.099,22.216,22.612,21.346,21.17,20.6,19.252,24.136,22.03,20.917,22.296,21.107,22.451,23.138,21.288,22.646,20.168,20.914,19.804,20.91,20.595,21.192,21.907,22.767,23.312,21.068,22.002,21.652,23.622,22.813,22.253,20.642,21.45,22.388,23.478,22.385,21.851,20.569,22.186,21.696,21.897,22.321,22.31,22.874,22.518,22.347,22.189,23.791,22.029,22.919,20.678,20.436,22.156,22.06,21.94379
keyboard,23.949,24.821,26.195,24.578,23.782,24.875,21.778,24.423,22.846,24.744,25.091,25.586,23.615,24.88,25.582,22.358,24.565,22.752,25.213,24.299,23.811,25.306,25.847,25.328,25.633,25.08,26.114,23.702,24.423,23.556,24.616,25.016,24.577,22.55,26.085,26.184,22.211,26.195,24.106,22.66,23.98,23.913,25.581,25.827,22.825,25.379,23.591,25.031,22.204,23.913,22.484,26.195,24.323,22.212,25.897,22.721,26.317,25.679,26.41,24.072,24.739,22.484,26.317,24.988,25.12,24.366,26.479,24.975,22.317,25.131,25.732,23.102,24.6,25.437,24.958,22.681,22.501,25.431,23.95,24.423,24.184,22.497,25.381,24.397,25.177,22.528,25.966,22.608,23.081,26.41,25.563,23.707,24.752,25.195,24.252,23.735,22.984,25.423,22.273,26.273,25.552,25.539,25.001,22.354,23.107,23.298,24.034,26.582,25.993,25.993,24.578,24.423,26.389,26.178,22.177,22.194,24.456,24.885,24.867,23.175,23.63,23.693,23.608,23.883,24.944,25.044,23.133,24.007,22.372,26.112,23.746,25.475,25.025,22.885,22.283,24.995,25.425,23.361,24.543,23.432,22.484,22.47,24.304,25.966,22.477,26.225,22.36,26.41,25.966,25.239,22.239,23.424,25.52,23.807,25.512,22.969,22.129,25.469,25.936,26.041,24.899,25.507,25.397,26.41,25.038,25.895,22.711,24.267,24.16,21.896,24.095,23.024,25.709,25.101,23.963,23.793,25.022,25.392,23.9,23.565,23.455,23.989,22.545,25.321,26.41,24.676,23.98,24.637,24.673,23.359,23.471,25.027,25.441,22.308,22.282,25.581,23.335,26.563,22.931,24.643,24.38646
man,21.603,21.885,21.309,20.931,22.244,20.825,21.908,21.419,21.578,23.07,22.136,21.599,22.502,21.97,21.872,22.031,21.097,21.097,23.018,21.764,22.154,21.688,21.345,21.658,21.769,21.603,22.579,21.525,21.019,20.904,20.823,22.916,22.037,20.826,20.802,22.143,21.463,21.576,21.95,21.699,21.106,21.957,21.815,21.462,21.318,22.466,21.864,22.949,21.727,21.541,21.192,21.711,21.887,21.719,21.85,21.717,21.613,21.483,21.866,21.868,20.677,21.958,21.603,21.081,22.227,21.87,21.813,20.825,20.542,23.066,22.116,21.475,20.994,22.731,21.603,20.701,22.18,21.749,21.871,22.096,21.018,22.264,21.955,21.174,21.885,21.21,21.236,22.012,22.111,22.913,22.639,21.843,21.21,21.783,20.718,21.544,21.984,23.012,21.741,21.969,21.95,23.106,21.902,21.225,22.871,21.367,22.095,21.25,20.793,21.383,20.939,20.794,21.603,21.488,21.045,22.219,20.824,21.92,21.533,21.226,21.885,22.068,21.772,21.483,23.141,20.79,24.219,21.026,21.902,21.158,22.011,22.008,20.746,21.95,22.002,21.745,23.131,20.735,21.677,21.471,21.13,21.657,22.977,22.067,20.875,20.938,22.659,22.033,21.225,21.701,21.988,22.236,22.115,21.736,21.964,21.747,22.056,21.852,22.216,21.603,21.661,21.766,21.862,21.07,21.703,21.033,21.492,21.337,22.025,21.21,21.574,22.076,21.676,22.014,21.21,21.801,20.902,21.425,21.53,21.043,21.663,21.479,21.612,21.064,21.619,20.877,21.476,21.885,22.012,21.784,21.265,21.477,23.003,21.965,21.971,21.768,20.363,21.684,20.908,22.515,21.704375
orchid,21.936,20.258,23.186,20.785,20.041,21.613,21.94,22.178,21.825,22.867,21.502,21.764,23.157,21.595,21.148,21.883,21.832,21.723,23.219,22.458,21.804,20.609,20.041,22.13,22.487,20.567,21.912,21.835,21.731,21.722,21.632,22.959,21.609,22.036,22.111,20.258,22.477,23.294,19.673,23.294,21.322,21.67,20.61,21.764,22.71,20.607,20.444,22.188,20.501,18.981,20.51,20.634,19.533,21.786,22.319,19.658,22.205,19.343,20.602,22.199,20.559,22.83,22.233,22.46,20.56,21.933,20.041,21.568,21.886,19.604,20.465,19.54,21.62,21.918,21.762,22.347,19.679,20.731,19.381,21.48,22.487,21.556,19.425,19.262,22.374,20.73,22.188,22.494,22.003,21.936,20.579,20.258,22.384,22.026,20.041,22.724,21.988,22.181,20.041,23.093,21.359,21.579,22.344,20.498,22.811,19.443,23.093,21.606,22.351,21.601,19.309,21.809,22.142,22.096,21.386,21.508,20.711,19.465,21.906,21.537,18.981,20.475,22.893,22.344,20.788,22.059,23.438,21.412,21.526,22.71,22.216,21.462,21.772,21.761,22.262,22.959,22.25,22.037,20.041,21.052,20.473,22.12,20.419,22.632,22.236,19.362,22.21,23.294,19.422,22.959,21.799,19.67,22.339,22.169,23.438,21.936,20.755,20.372,21.703,20.994,22.761,21.886,21.931,21.74,21.789,22.487,21.861,22.079,21.619,21.843,19.737,21.595,20.535,21.886,22.521,22.166,23.294,20.565,22.205,21.682,20.803,22.215,21.878,19.341,21.579,20.258,21.063,20.562,22.487,20.785,23.294,21.787,21.922,21.514,22.205,21.696,21.67,20.594,22.42,22.685,21.51639
hamster,22.784,21.795,21.712,22.925,22.772,22.628,21.739,22.466,21.945,21.776,23.234,21.896,22.019,22.677,21.646,21.98,21.676,21.905,21.699,22.86,21.783,21.714,21.93,22.75,22.72,22.89,21.796,23.28,22.707,22.053,21.684,22.776,22.444,21.652,21.858,21.973,21.803,22.579,22.602,21.633,21.932,21.636,22.02,22.542,23.023,21.607,22.886,21.812,21.726,21.721,23.117,21.849,22.639,21.977,22.855,21.628,22.707,22.11,21.557,22.716,21.841,21.905,21.724,21.623,21.621,22.68,21.819,21.641,22.967,22.038,21.731,22.449,23.127,22.518,21.874,22.725,21.524,21.776,21.817,22.971,22.604,21.865,22.609,22.8,21.958,23.136,22.995,22.336,21.766,21.912,21.881,22.454,21.931,21.813,21.683,21.889,21.926,21.671,22.349,21.642,22.094,22.585,21.898,22.749,21.859,21.929,21.736,21.916,21.647,21.952,22,21.561,22.926,22.606,21.751,21.793,21.918,21.986,22.584,21.787,22.662,21.968,21.755,21.706,22.572,21.886,21.873,22.563,22.63,23.073,21.785,22.08,21.751,22.794,22.681,22.441,21.661,21.84,21.91,22.744,22.454,21.633,22.01,22.357,21.593,22.541,21.826,22.701,21.858,21.744,21.741,21.969,21.674,22.034,21.965,23.209,23.239,22.83,21.729,22.653,21.539,21.746,21.786,21.933,22.045,21.717,21.873,21.812,21.81,23.165,21.728,22.695,21.554,23.189,22.882,23.162,22.619,21.783,21.006,22.524,22.469,21.581,22.848,23.066,21.579,22.001,21.554,22.104,22.025,21.709,21.972,22.658,22.471,21.804,22.613,22.637,21.551,22.627,22.785,23.297,22.178715
cattle,22.552,23.369,23.452,21.79,21.858,24.907,24.282,23.012,23.424,23.636,22.702,23.611,23.433,22.978,22.895,22.763,24.053,23.223,22.824,23.102,23.715,22.62,22.151,23.574,22.593,23.045,23.826,23.768,23.585,23.247,23.345,24.759,23.439,23.389,23.353,24.25,22.133,24.775,23.088,24.408,24.852,23.605,22.509,23.501,22.988,24.079,22.98,22.465,24.01,23.808,22.285,22.187,23.104,23.26,24.151,24.218,22.934,23.054,23.237,23.818,23.847,23.332,22.824,22.36,23.918,23.518,23.395,23.364,24.204,23.716,23.304,23.682,22.843,22.324,24.365,23.487,23.155,21.805,23.762,23.18,23.283,22.509,23.23,24.69,22.829,24.738,22.6,24.725,22.813,23.025,24.007,24.514,23.007,23.93,23.294,23.509,23.45,24.225,23.983,22.289,23.182,22.254,22.748,23.802,24.394,23.298,23.155,23.21,23.901,23.755,22.28,22.192,21.95,22.917,23.112,23.173,23.86,23.293,21.479,22.781,21.96,23.601,23.209,24.598,23.5,22.955,23.576,23.628,22.43,23.339,23.736,21.734,24.087,24.021,23.086,22.929,24.589,23.778,24.744,22.566,23.604,22.818,23.783,22.76,24.598,23.763,22.819,23.47,22.836,22.173,22.831,23.127,23.206,23.517,24.115,23.725,22.887,23.022,23.014,22.509,24.832,23.586,23.985,23.272,23.607,22.57,23.112,23.274,23.243,23.474,22.083,22.523,23.068,23.541,23.429,23.502,23.962,23.366,24.479,25.129,23.237,22.378,22.737,22.962,24.301,22.308,23.505,24.419,23.188,22.955,23.686,23.057,22.736,24.362,23.143,23.197,23.401,23.69,24.021,22.819,23.332635
couch,22.025,22.572,21.134,21.951,22.707,21.908,21.926,22.521,21.539,21.453,21.971,22.669,21.635,23.886,22.375,22.377,21.298,23.572,21.989,21.961,22.247,21.847,24.338,22.239,21.632,22.536,23.111,22.146,21.145,22.781,20.891,22.174,22.28,21.293,22.313,21.87,21.263,22.029,22.329,21.214,22.911,22.455,21.911,22.371,21.871,22.402,21.603,23.186,21.817,22.455,22.509,23.273,23.787,22.703,22.359,23.142,21.955,22.651,22.353,22.45,22.244,21.644,22.623,21.96,23.173,22.152,22.293,22.979,21.778,21.941,22.061,21.695,21.435,22.518,21.536,22.462,21.985,22.09,21.613,21.932,22.405,22.178,23.661,22.471,22.808,21.658,22.497,21.356,22.308,22.059,21.992,22.282,22.198,21.211,22.203,22.257,22.456,22.546,23.121,21.382,21.752,23.268,21.888,23.239,22.22,20.97,21.986,21.109,22.293,22.37,21.04,22.203,22.484,22.351,21.341,22.342,21.498,22.362,22.106,21.878,22.516,21.651,21.372,22.133,22.202,22.418,23.568,21.465,22.316,23.699,22.393,23.605,22.132,20.788,21.539,21.126,22.238,22.194,22.453,22.562,22.033,22.146,23.443,22.224,22.225,22.468,21.18,21.98,22.177,22.361,22.408,21.019,20.811,21.948,22.463,22.185,22.41,23.952,22.197,22.275,21.139,22.26,21.567,22.278,21.28,22.383,23.286,23.888,23.456,23.147,22.072,22.097,23.267,21.017,21.856,22.394,23.867,21.307,21.898,21.205,22.062,22.223,21.245,22.4,22.106,22.408,23.802,21.353,22.031,22,23.465,21.607,21.616,22.401,23.793,22.277,22.083,22.014,21.491,22.563,22.210265
crab,22.801,22.549,21.659,22.424,22.401,23.616,22.175,22.139,22.721,24.658,22.257,21.722,22.96,21.493,21.402,23.964,22.591,22.438,21.974,22.273,25.199,22.032,22.081,22.532,22.631,22.052,22.622,22.125,24.259,21.853,22.721,24.115,24.284,24.067,21.91,21.736,22.141,22.379,22.546,22.486,21.539,24.724,21.879,22.246,22.485,22.245,22.287,22.669,22.838,21.789,23.159,22.574,21.827,22.186,22.959,22.041,24.243,22.625,21.525,21.91,22.494,22.251,22.64,23.085,22.067,21.592,22.256,22.954,21.379,21.578,22.377,22.27,22.439,21.818,23.005,21.692,22.213,21.668,23.046,21.946,22.648,22.969,22.458,21.973,22.451,24.612,22.148,24.913,21.736,21.916,23.851,23.805,22.638,22.347,22.45,22.048,21.479,22.597,21.543,23.181,22.514,21.809,22.665,21.656,21.294,22.444,22.797,22.678,22.679,22.128,22.312,21.732,22.572,22.907,23.17,22.537,23.06,22.422,22.774,22.541,22.445,21.857,24.696,22.747,22.441,22.777,24.25,21.898,23.223,22.673,24.463,22.743,22.268,22.197,23.493,23.09,21.79,22.583,23.096,21.576,21.75,21.746,22.807,22.72,21.871,22.508,22.782,21.629,22.577,21.6,22.703,22.855,21.713,22.257,23.049,21.903,22.309,22.48,22.415,23.058,21.991,21.642,22.358,22.138,24.049,22.661,22.246,23.596,23.037,23.12,23.027,21.637,22.927,21.578,22.847,21.992,23.068,22.584,22.835,22.646,22.916,23.327,23.235,22.74,21.964,22.826,21.686,21.878,22.241,23.029,22.951,21.944,22.752,23.265,24.696,22.437,22.558,22.032,23.986,22.333,22.563875
whale,24.239,23.088,23.754,24.067,23.054,22.813,24.401,23.16,23.085,24.415,23.26,22.857,24.227,23.085,23.207,23.082,24.047,24.07,24.251,24.228,23.858,22.949,24.287,23.061,22.849,23.79,23.268,23.013,22.867,22.996,23.072,23.16,24.142,24.061,24.078,22.746,22.911,22.849,23.949,24.041,23.144,23.131,24.229,22.97,23.945,23.023,24.106,24.177,23.111,22.993,22.922,23.73,23.023,22.907,24.101,22.948,24.233,23.011,24.264,24.115,22.994,22.865,23.274,24.268,24.07,24.138,22.921,24.305,23.031,23.133,23.668,22.868,23.781,23.759,22.652,22.78,22.956,24.075,23.524,24.124,23.031,23.849,24.048,24.157,23.972,24.202,24.156,22.98,23.98,23.085,23.001,22.77,22.974,23.055,24.124,23.088,23.003,23.992,23.081,22.906,24.484,24.169,24.315,24.25,22.966,23.296,22.757,22.994,22.991,23.617,24.133,24.393,23.7,24.206,22.89,24.061,23.989,22.993,23.066,24.239,22.945,24.029,22.758,24.099,23.636,24.234,22.99,23.11,23.896,22.77,22.922,24.148,24.142,24.038,23.977,22.98,24.179,24.061,23.013,22.818,24.146,24.268,23.788,24.175,22.948,22.725,22.864,22.997,24.146,24.183,24.148,22.826,24.304,22.897,23.094,23.245,23.827,22.871,23.094,24.344,24.112,22.924,23.959,22.798,23.83,22.753,22.796,22.76,22.867,23.061,23.878,24.191,23.975,22.998,24.02,24.306,22.828,22.816,24.171,22.787,24.193,23.896,22.882,24.349,24.222,23.16,23.665,22.925,24.13,24.095,23.928,22.967,23.341,23.125,24.04,24.159,23.011,24.066,24.221,24.159,23.53284
willow tree,22.882,21.764,21.985,21.613,22.47,22.387,21.982,22.204,22.471,21.791,22.081,22.675,22.171,22.128,22.394,22.115,21.619,21.454,21.239,21.751,21.668,21.253,21.993,21.359,21.887,22.036,21.878,20.617,22.055,22.035,22.521,22.01,21.717,20.076,22.044,22.075,21.175,22.519,21.321,21.963,22.262,21.362,22.519,22.818,22.518,22.02,21.865,22.771,21.638,22.077,21.877,21.985,22.035,22.054,22.365,22.306,21.94,21.888,22.826,22.453,22.354,21.61,22.03,22.086,22.026,19.393,22.086,21.808,21.446,21.97,22.041,22.096,22.351,22.07,21.991,22.018,21.973,21.818,20.923,21.823,22.537,21.876,22.721,21.627,22.921,22.344,22.064,22.001,21.57,22.487,21.986,22.518,21.564,21.969,21.942,22.179,22.004,22.083,19.882,22.607,21.756,22.097,21.822,22.036,22.05,22.044,21.712,21.217,22.038,22.593,22.512,21.723,21.611,22.483,22.31,21.992,22.054,21.574,22.183,22.527,21.243,22.209,21.799,22.097,22.566,21.996,21.553,21.937,22.39,22.821,21.671,22.592,22.883,21.973,22.599,22.492,20.215,22.782,21.935,21.99,21.951,21.784,21.617,22.439,22.715,21.563,22.096,21.739,21.964,21.841,22.108,21.558,20.555,22.014,22.023,21.308,22.057,22.162,21.876,21.569,21.243,21.787,22.179,21.99,22.521,22.516,22.16,22.059,22.096,22.131,22.56,22.9,22.406,22.291,22.033,23.378,22.282,21.938,21.494,21.36,22.024,21.636,21.891,21.723,22.578,21.798,22.168,21.759,22.041,22.529,22.64,22.078,22.052,21.8,21.867,21.993,22.841,21.942,21.969,22.298,21.998595
lion,21.789,21.173,21.701,21.412,21.667,22.789,23.452,23.457,21.276,22.708,22.21,22.202,21.742,21.389,22.424,21.329,21.703,21.519,22.829,22.585,22.252,22.058,22.776,21.915,22.442,22.92,22.846,22.622,21.933,24,21.746,22.274,22.568,21.444,22.223,22.222,21.833,22.928,23.989,22.478,22.756,22.34,21.373,22.569,22.744,22.214,22.248,22.609,21.83,21.976,21.643,22.465,22.017,23.729,22.744,22.601,21.659,21.828,23.569,23.999,22.81,21.731,23.975,22.225,23.744,22.63,21.314,21.375,22.149,22.462,22.69,21.86,21.515,22.311,22.568,22.561,22.503,22.706,21.754,21.84,22.85,22.131,21.312,21.865,21.475,22.498,23.731,22.493,22.184,21.697,21.558,22.469,22.076,21.388,23.555,21.734,22.554,21.222,23.901,21.75,22.147,21.598,22.555,21.513,23.223,22.186,23.95,22.042,22.832,22.652,22.174,21.755,21.681,22.44,21.907,22.788,23.841,23.941,22.235,21.851,21.767,21.652,22.868,21.68,21.804,21.918,22.249,21.737,22.266,22.312,22.764,22.764,22.429,21.752,23.514,22.513,22.134,23.673,21.28,22.521,21.898,22.034,22.793,21.53,21.683,21.901,22.185,21.584,22.404,22.41,21.661,21.455,22.8,21.939,21.484,21.565,21.428,22.699,22.171,24.025,22.588,22.548,22.773,22.716,22.011,22.549,22.79,22.189,21.827,22.684,21.944,22.755,22.644,21.587,22.012,22.087,22.656,22.063,21.653,21.346,21.83,22.778,21.631,22.631,23.768,21.59,21.632,21.359,22.215,22.079,21.681,22.21,21.433,22.725,22.22,22.671,21.626,21.501,22.304,22.044,22.274055
sunflower,20.997,21.386,20.33,19.544,20.822,21.42,21.079,22.359,21.805,22.888,21.36,21.76,20.914,22.577,22.303,20.645,20.681,20.693,21.992,22.405,22.213,22.094,20.984,20.074,20.789,20.509,22.106,21.037,21.113,20.226,20.885,22.238,22.069,21.434,20.542,20.68,20.086,20.01,20.026,22.367,21.154,20.848,20.728,21.021,19.743,22.889,21.256,22.983,20.769,22.969,20.902,19.968,20.486,20.709,21.618,20.804,20.115,20.391,20.22,20.938,22.562,20.66,20.129,21.181,22.083,20.073,21.299,20.034,21.282,20.201,20.7,20.41,22.093,22.751,20.276,20.822,21.802,21.439,22.389,22.228,22.644,21.648,20.603,23.109,20.551,22.088,22.178,21.573,20.609,22.524,20.446,21.083,22.219,21.179,22.411,20.925,20.682,20.71,22.339,20.486,20.984,20.702,22.064,22.926,21.283,22.786,22.666,20.534,22.007,21.198,22.413,22.408,22.367,20.767,22.968,21.008,22.134,22.687,21.049,21.688,22.729,22.038,21.308,21.234,20.322,19.922,20.605,22.343,20.436,21.337,21.402,21.713,22.945,20.834,22.81,20.762,21.132,21.244,22.419,21.145,22.378,23.164,21.883,21.013,22.004,21.059,20.357,19.886,21.19,20.53,19.81,21.319,21.125,21.425,21.971,20.676,21.511,22.794,20.211,19.916,22.013,21.081,20.107,22.633,20.977,22.381,20.934,21.574,20.24,20.964,20.832,22.647,22.017,22.347,20.526,22.218,22.73,20.993,22.201,21.124,20.526,21.157,21.172,22.098,21.602,22.118,21.009,20.432,20.708,21.691,22.782,22.747,23.258,20.749,20.912,22.259,21.635,20.267,21.317,20.518,21.367055
castle,21.731,23.146,20.64,19.633,21.343,22.676,19.514,21.528,21.783,22.69,19.618,21.608,21.477,22.243,22.634,21.553,21.311,22.571,21.32,21.763,21.205,21.498,19.649,21.53,22.421,22.333,22.614,21.493,22.511,22.71,22.624,21.478,21.391,22.415,21.523,22.903,21.563,23.062,21.507,21.786,23.174,22.236,21.582,21.482,22.599,22.224,20.751,23.013,22.873,22.315,22.256,21.368,19.676,21.52,21.45,21.478,22.927,21.775,22.53,22.07,22.62,21.567,22.795,22.022,22.608,22.008,21.5,22.591,22.684,21.785,22.775,19.551,22.801,21.674,21.864,22.282,22.066,19.789,22.547,20.131,22.59,21.587,21.813,21.67,22.463,22.557,21.816,22.579,21.324,21.716,21.108,21.574,21.325,22.34,22.793,22.578,21.518,21.582,22.414,21.506,22.18,21.371,21.579,23.032,21.77,21.401,22.284,19.569,21.162,21.554,20.228,19.294,21.351,22.689,22.485,22.002,19.431,22.957,22.71,22.011,22.226,22.191,22.943,23.245,21.498,22.762,19.418,21.47,21.217,22.689,21.962,23.202,22.508,22.03,21.239,21.474,21.76,23.128,19.58,21.788,22.926,22.706,21.794,21.584,19.58,22.064,23.02,22.585,22.758,21.051,21.923,21.685,19.58,23.022,21.993,20.869,21.483,22.973,22.682,22.771,23.085,22.505,22.795,22.671,19.8,22.882,21.41,22.822,21.459,21.324,22.841,19.664,22.164,22.61,21.261,21.274,22.774,22.509,22.23,21.389,21.798,22.936,22.163,22.958,22.385,22.844,21.664,20.842,22.579,22.485,22.266,21.878,23.082,22.472,19.528,22.52,20.141,19.524,21.342,21.562,21.848435
